Stock Name,Symbol,Industry_O,Industry,Market Cap(Rs. Cr.),Exchange,Last Price,LTPP,LTP,Volume,Chng%,Chg%,Change,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio  (TTM),Price Earning Ratio(TTM),PEG Ratio,Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),52w_high_csv,52w_high,52w_low_csv,52w_low,EPS,,Symbol with Comma for External Upload,EPS_csv,EPS
Naturite Agro Products Ltd.,NAPL,Agriculture,Agriculture,64.08,BSE,0,121,121,0,0,0,0,1,2024-09,11.85,75.93,2024-09,6.05,1.59,2024-09,40.3,40.3,0.7,5.46,1,2024-03,0.24,2.68,2.17,0,0,0,0,0,,"540718,",TRUE,
Aavas Financiers Ltd.,AAVAS,Finance - Housing,Finance - Housing,13437.03,NSE,1105,1712,1105,157645,0.96,-1.66,-18.7,1,2024-09,533.27,2024-09,25.2,1.11,3.32,2,2024-03,14.08,3.31,14.13,9.96,"AAVAS,",,,,0,2234,0,1083.7,78.47,,"INFOBEAN,",1,
Omega Ag-Seeds (Punjab) Ltd.,OMEAG,Agriculture,Agriculture,6.69,BSE,0,8.88,8.88,0,4.96,4.96,0,1,2024-09,0.36,7.04,2024-09,0,-0.25,2024-09,0,0,,-8.57,1,2024-03,0,0,0,0,0,0,0,0,,"ABCOTS,",TRUE,
Saptarishi Agro Industries Ltd.,SPTRSHI,Agriculture,Agriculture,107.26,BSE,0,31,31,0,-1.77,-1.77,0,1,2024-09,6.95,114.21,2024-09,53.86,1.3,2024-09,82.64,82.64,0.59,15.95,1,2024-03,0.71,32.3,29.56,0,0,0,0,0,,"ABINFRA,",TRUE,
SC Agrotech Ltd.,SCAGRO,Agriculture,Agriculture,10.25,BSE,0,16.65,16.65,0,-2.63,-2.63,0,1,2024-09,,10.25,2024-09,0.68,0.23,2024-09,45.16,45.16,1.05,3.85,1,2024-03,0,9.47,10.09,0,0,0,0,0,,"ABAN,",TRUE,
Shree Ganesh Bio-Tech (India) Ltd.,SHREEGANES,Agriculture,Agriculture,41.06,BSE,0,1.03,1.03,0,0,0,0,1,2024-09,,41.05,2024-09,13.44,1.19,2024-09,34.47,34.47,-1.81,0.65,1,2024-03,0,0.99,1.36,0,0,0,0,0,,"512165,",TRUE,
AB Cotspin India Ltd.,ABCOTS,Textile,Textile,464.9,NSE,405.45,458.35,405.45,4044,1.47,0.75,3,1,2024-09,94.46,558.74,2024-03,255.77,6.7,2024-03,69.4,58.6,,9.85,1,2024-03,2.57,14.95,10.76,0,504,0,335,6.92,,"526211,",1,
Simran Farms Ltd.,SIMRAN,Agriculture,Agriculture,73.18,BSE,0,201.35,201.35,0,4.33,4.33,0,2,2024-09,12.18,85.36,2024-09,612.85,5.79,2024-09,12.66,12.66,-0.34,1.83,2,2024-03,1.13,1.29,3.96,0,0,0,0,0,,"ABB,",TRUE,
Tarai Foods Ltd.,TARAI,Agriculture,Agriculture,16.91,BSE,0,9.99,9.99,0,4.72,4.72,0,1,2024-09,2.73,19.64,2024-09,0,-0.47,2024-09,0,0,,-101.06,1,2024-03,-1.11,0,-19.31,0,0,0,0,0,,"ABBOTINDIA,",TRUE,
Tierra Agrotech Ltd.,TIERRA,Agriculture,Agriculture,377.03,BSE,0,58.38,58.38,0,1.57,1.57,0,2,2024-09,0.63,370.59,2024-09,67.73,-9.93,2024-09,0,0,,2.6,2,2024-03,0.21,-16.33,-7.12,0,0,0,0,0,,"520123,",TRUE,
Transchem Ltd.,TRANSCHEM,Agriculture,Agriculture,65.63,BSE,0,53,53,0,-1.16,-1.16,0,1,2024-09,,65.63,2024-09,0.41,5.5,2024-09,11.94,11.94,0.17,0.85,1,2024-03,0,5.94,7.99,0,0,0,0,0,,"ABHAPOWER,",TRUE,
AB Infrabuild Ltd.,ABINFRA,Engineering - Construction,Engineering - Construction,534.88,NSE,16.98,95,16.98,195178,-2.83,-1.96,-0.34,1,2024-09,29.75,554.13,2024-03,183.81,11.42,2024-03,46.85,108.75,1.44,5.69,1,2024-03,0.51,19.7,21.87,0,23.56,0,7.71,0.16,,"GHCL,",1,
Aban Offshore Ltd.,ABAN,Oil Exploration,Oil Exploration,368.93,NSE,24.51,64.5,24.51,6717,2.23,-5,-1.29,2,2024-09,15370.14,15739.06,2024-09,475.39,-1018.24,2024-09,0,0,0,-0.02,2,2024-03,-0.64,0,0,0,61,0,18.06,-135.47,,"PNCINFRA,",1,
Abans Holdings Ltd.,AHL,Finance - NBFC,Finance - NBFC,1294.13,NSE,0,263.35,263.35,22914,3.13,0.45,0,2,2024-09,96.62,2024-09,14.58,,1.29,2,2024-03,16.55,1.02,10.25,9.7,"AHL,",,,,0,0,0,0,0.07,,"500240,",1,
ABB India Ltd.,ABB,Electric Equipment,Electric Equipment,146016.5,NSE,6223,6874.6,6223,448185,-0.25,-1.44,-0.07,1,2024-06,,141007.2,2024-09,11580.87,1687.9,2024-09,86.51,54.26,4.45,21.53,1,2023-12,0,22.94,30.79,0,6554,0,4637.5,0.09,,"EXIDEIND,",1,
Abbott India Ltd.,ABBOTINDIA,Pharmaceuticals & Drugs,Pharmaceuticals & Drugs,63622.75,NSE,26065,29702,26065,5341,-0.85,-1.02,-270,1,2024-09,,62517.05,2024-09,6066.05,1284.66,2024-09,49.52,36.37,2.28,18.07,1,2024-03,0,35.31,47.34,0,37000,0,26000,717.26,,"524502,",1,
