Stock Name,Symbol,Industry_O,Industry,Market Cap(Rs. Cr.),Exchange,Last Price,LTPP,LTP,Volume,Chng%,Chg%,Change,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio  (TTM),Price Earning Ratio(TTM),PEG Ratio,Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),52w_high_csv,52w_high,52w_low_csv,52w_low,EPS,,Symbol with Comma for External Upload,EPS_csv,EPS
Nitin Spinners Ltd.,NITINSPIN,Textile - Spinning,Textile - Spinning,2464.12,NSE,365.6,436,365.6,54648,-0.66,-1.67,-6.2,1,2024-09,1179.84,3630.59,2024-09,3176.63,155.2,2024-09,15.88,12.34,1.03,2.02,1,2024-03,1.17,12.09,11.61,0,426.8,0,295.25,29.62,,,1,
Sylph Technologies Ltd.,SYLPH,IT - Software,IT - Software,39.81,BSE,0,1.13,1.13,0,1.8,1.8,0,1,2024-09,7.48,47.29,2024-09,13.88,-2.09,2024-09,0,0,,1.04,1,2024-03,0.03,-14.8,-4.96,0,0,0,0,0,,"OILCOUNTUB,",1,
T Spiritual World Ltd.,TSPIRITUAL,IT - Software,IT - Software,3.1,BSE,0,1.55,1.55,0,,,0,1,2024-09,,3.1,2024-09,0,-0.2,2024-09,0,0,0,2.21,1,2024-03,0,-11.87,-11.87,0,0,0,0,0,,"OIL,",1,
Nitiraj Engineers Ltd.,NITIRAJ,Engineering - Industrial Equipments,Engineering - Industrial Equipments,234.13,NSE,215.06,232.42,215.06,2910,1.76,-0.5,-1.09,1,2024-09,,229.07,2024-09,89.65,7.93,2024-09,29.53,134.75,,3,2,2023-03,0.04,-0.34,0.39,0,359,0,169.99,1.6,,"544308,",1,
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,Insurance,Insurance,15045.56,NSE,69.72,84.74,69.72,614399,3.15,-2.58,-1.85,1,,,2024-03,183.81,,3,1,2024-03,373.52,0,5.68,4.84,"NIVABUPA,",,,,0,95.21,0,67.85,0.19,,"MTEDUCARE,",1,
NK Industries Ltd.,NKIND,Edible Oil,Edible Oil,40.75,NSE,63,65.26,63,959,-5.01,0,0,2,2024-09,,39.21,2024-09,23.16,0.06,2024-09,646.78,646.78,45.45,-0.08,2,2024-03,0,0,0,0,87.78,0,53.74,-10.32,,"EIEL,",1,
NLC India Ltd.,NLCINDIA,Power Generation/Distribution,Power Generation/Distribution,33515.01,NSE,261.75,242.62,261.75,2649036,0.4,-0.04,-0.1,2,2024-09,22486.33,55057.58,2024-09,13738.33,1916.88,2024-09,18.26,13.39,4.65,1.89,2,2024-03,1.35,11.78,9.77,0,292.2,0,212.85,19.55,,,1,
NMDC Ltd.,NMDC,Mining & Minerals,Mining & Minerals,59476.65,NSE,78.08,67.57,78.08,14497159,-0.18,-1.77,-1.41,2,2024-09,4155.7,49372.32,2024-09,22232.31,6045.36,2024-09,9.78,9.94,2.15,2.05,2,2024-03,0.13,23.08,29.88,0,86.72,0,59.53,7.85,,"526588,",1,
TechNVision Ventures Ltd.,TECHNVISN,IT - Software,IT - Software,2133.5,BSE,0,3434,3434,0,1,1,0,2,2024-09,2.27,2135.77,2024-09,218.97,17.39,2024-09,122.69,122.69,6.56,287.03,2,2024-03,1.01,0,94.7,0,0,0,0,0,,"507609,",1,
NMDC Steel Ltd.,NSLNISP,Steel & Iron Products,Steel & Iron Products,12792.09,NSE,36.22,43.56,36.22,1775846,-0.16,-2.69,-1,1,2024-09,6503.08,18566.51,2024-09,6316.84,-2571.84,2024-09,0,0,,0.89,1,2024-03,0.43,-9.59,-8.69,0,49.65,0,32.13,-2.75,,"SONATSOFTW,",1,
Titan Intech Ltd.,TITANIN,IT - Software,IT - Software,112.13,BSE,0,40.25,40.25,0,0.05,0.05,0,1,2024-09,2.55,114.68,2024-09,35.76,4.92,2024-09,22.77,22.77,0.06,1.6,1,2024-03,0.07,26.04,20.2,0,0,0,0,0,,"538537,",1,
Nocil Ltd.,NOCIL,Chemicals,Chemicals,4172.33,NSE,141.56,252.32,141.56,402260,0.84,-4.48,-6.63,2,2024-09,,4145.97,2024-09,1431.99,140.73,2024-09,29.65,39.75,-4.65,2.36,2,2024-03,0,8.21,11.17,0,211,0,125.31,3.56,,"530809,",1,
Norben Tea & Exports Ltd.,NORBTEAEXP,Tea/Coffee,Tea/Coffee,30.68,NSE,85.36,25.81,85.36,800,0,-2,-1.74,1,2024-09,10.47,40.84,2024-09,7.14,-1.5,2024-09,0,0,,2.21,1,2024-03,0.81,-12.37,-2.6,0,99.35,0,30.5,-0.29,,"SUMICHEM,",1,
North Eastern Carrying Corporation Ltd.,NECCLTD,Logistics,Logistics,375.3,NSE,13.03,36.9,13.03,31109,-1.47,-2,-0.27,1,2024-09,94.66,469.97,2024-09,337,11.93,2024-09,31.46,14.55,2.6,1.74,1,2024-03,0.53,5.37,7.55,0,27.25,0,11.51,0.9,,,1,
USG Tech Solutions Ltd.,USGTECH,IT - Software,IT - Software,73.82,BSE,0,18.36,18.36,0,-1.98,-1.98,0,2,2024-09,16.69,90.28,2024-09,0,-0.42,2024-09,0,0,,1.93,2,2024-03,0.09,-0.99,-0.55,0,0,0,0,0,,"511644,",1,
Vama Industries Ltd.,VAMA,IT - Software,IT - Software,46.71,BSE,0,8.85,8.85,0,-0.45,-0.45,0,2,2024-09,4.62,50.74,2024-09,7.69,-2.18,2024-09,0,0,,2.73,2,2024-03,0.04,-20.29,-8.09,0,0,0,0,0,,"OMFURN,",1,
VCU Data Management Ltd.,VCU,IT - Software,IT - Software,10.37,BSE,0,6.56,6.56,250533,-1.94,-7.5,-0.09,1,2024-09,,10.37,2024-09,0,0.07,2024-09,159.53,159.53,5.05,0.34,1,2024-03,0,0.03,0.11,0,0,0,0,-0.19,,"OMKARCHEM,",1,
Vedavaag Systems Ltd.,VEDAVAAG,IT - Software,IT - Software,148.35,BSE,0,64.99,64.99,0,0.43,0.43,0,2,2024-09,3.52,145.79,2024-09,86.14,8.06,2024-09,18.4,18.4,-3.99,1.07,2,2024-03,0.02,6.11,7.58,0,0,0,0,0,,"532340,",1,
Virgo Global Ltd.,VIRGOGLOB,IT - Software,IT - Software,8.04,BSE,0,7.12,7.12,0,-6.93,-6.93,0,1,2024-09,25.56,33.6,2024-09,42.62,-0.2,2024-09,0,0,0,-25.25,1,2024-03,3.09,34.59,10.53,0,0,0,0,0,,"543400,",1,
Northern ARC Capital Ltd.,NORTHARC,Finance - NBFC,Finance - NBFC,3580.2,NSE,226.05,232.23,226.05,450125,4.69,-1.2,-2.75,2,,,2024-03,11.61,,1.08,2,2024-03,11.8,3.96,15.67,11.3,"NORTHARC,",,,,0,290,0,141.47,19.16,,"531609,",1,
Nova Agritech Ltd.,NOVAAGRI,Pesticides & Agrochemicals,Pesticides & Agrochemicals,581.86,NSE,25.59,63.18,25.59,162312,0.53,-4.91,-1.32,2,2024-09,56.26,589.31,2024-09,273.86,28.98,2024-09,20.08,12.67,,2.84,2,2024-03,0.32,22.03,21.79,0,62.84,0,25.36,2.02,,"PRUDMOULI,",1,
WEP Solutions Ltd.,WEPSOLN,IT - Software,IT - Software,131.66,BSE,0,36.5,36.5,0,1.93,1.93,0,1,2024-09,18.41,128.29,2024-09,66.97,4.41,2024-09,29.88,29.88,0.35,2.16,1,2024-03,0.2,6.64,9.39,0,0,0,0,0,,"514330,",1,
NR Agarwal Industries Ltd.,NRAIL,Paper & Paper Products,Paper & Paper Products,614.39,NSE,412,360.55,412,985,0,-4.78,-20.65,1,2024-09,668.8,1273.33,2024-09,1358.19,58.84,2024-09,10.44,30.92,1.8,0.8,1,2024-03,0.73,17.98,14.23,0,514,0,205.75,13.32,,"PREMIER,",1,
NRB Bearings Ltd.,NRBBEARING,Bearings,Bearings,2787.01,NSE,248.45,289.95,248.45,126770,0.9,-3.25,-8.35,2,2024-09,145.43,2863.21,2024-09,1133.82,259.45,2024-09,10.84,24.27,-98.58,2.99,2,2024-03,0.2,31.62,33.43,0,313.25,0,196.76,10.24,,,FALSE,
NRB Industrial Bearings Ltd.,NIBL,Bearings,Bearings,60.63,NSE,29.1,25.11,29.1,6970,-1.34,-2.05,-0.61,2,2024-09,118.04,177.42,2024-09,67.41,-29.24,2024-09,0,4.19,0,-1.08,2,2024-03,-2.82,0,-17.71,0,40.8,0,19.5,6.95,,"APARINDS,",TRUE,
NTPC Green Energy Ltd.,NTPCGREEN,Power Generation/Distribution,Power Generation/Distribution,107772.8,NSE,99.28,129.45,99.28,43003328,1.17,1.53,1.5,1,2024-03,12796.74,120097.4,,,,2024-03,290.91,152.12,,5.97,2,2024-03,2.05,6.2,8.04,0,117.64,0,84,0.65,,"531797,",1,
NTPC Ltd.,NTPC,Power Generation/Distribution,Power Generation/Distribution,327747.3,NSE,376.65,339.65,376.65,6021506,0.49,-0.49,-1.85,2,2024-09,239932.3,559857.2,2024-09,183659.3,17934.32,2024-09,17.16,15.1,1.98,1.95,2,2024-03,1.46,13.86,10.58,0,394.5,0,315.55,24.93,,"SAURASHCEM,",1,
Nucleus Software Exports Ltd.,NUCLEUS,IT - Software,IT - Software,2848.4,NSE,822,1129.35,822,26103,4.02,-0.77,-6.4,2,2024-09,,2788.92,2024-09,811.98,156.71,2024-09,18.18,14.75,0.87,3.98,2,2024-03,0,27.61,36.99,0,1378,0,725,55.82,,"522289,",1,
Nupur Recyclers Ltd.,NRL,Trading,Trading,690.92,NSE,49.63,100.5,49.63,0,-0.16,0,0,2,2024-09,17.82,708.74,2024-09,205.07,13.12,2024-09,58.55,9.67,,7.19,2,2024-03,0.16,10.86,15.01,0,94,0,48.12,0.5,,"VINYAS,",1,
Nureca Ltd.,NURECA,Medical Equipment/Supplies/Accessories,Medical Equipment/Supplies/Accessories,281.75,NSE,242.55,287.05,242.55,4297,1.84,-2.36,-5.85,2,2024-09,2.24,259.98,2024-09,90.8,-2.8,2024-09,0,22.99,,1.45,2,2024-03,0,-0.92,-1.06,0,343,0,203.62,10.55,,"PATANJALI,",1,
Nuvama Wealth Management Ltd.,NUVAMA,Finance - Others,Finance - Others,25926.37,NSE,1152.6,7166.3,1152.6,125770,-0.78,-2.27,-26.8,2,2024-09,832.48,2024-09,31.02,,8.26,2,2024-03,20.92,2.39,25.01,16.59,"NUVAMA,",,,,0,1701.7,0,947.09,55.08,,"LINDEINDIA,",1,
Nuvoco Vistas Corporation Ltd.,NUVOCO,Cement & Construction Materials,Cement & Construction Materials,12741.55,NSE,287.75,357.6,287.75,110654,0.22,-5.41,-16.45,2,2024-09,4613.4,17242.13,2024-09,10259.48,49.05,2024-09,259.77,26.7,,1.43,2,2024-03,0.46,1.65,5.56,0,477.5,0,280.3,10.78,,"BLKASHYAP,",TRUE,
Nxt-Infra Trust - (NXT-INFRA),NXT-INFRA,Unspecified,Unspecified,0,NSE,0,101.35,101.35,0,,,0,1,,,0,,,,0,,,,,1,0,,,,0,0,0,0,0,,"ZENITHSTL,",0,
Oberoi Realty Ltd.,OBEROIRLTY,Construction - Real Estate,Construction - Real Estate,83041.3,NSE,1439.6,2267.25,1439.6,597317,-0.66,-2.25,-33.2,2,2024-09,2080.27,83453.34,2024-09,5093.46,2312.37,2024-09,35.76,23.2,1.91,5.61,2,2024-03,0.18,14.79,16.58,0,2005,0,1395.5,62.02,,"CMSINFO,",1,
OBSC Perfection Ltd.,OBSCP,Engineering - Industrial Equipments,Engineering - Industrial Equipments,610.45,NSE,0,254.6,254.6,0,1.98,1.98,0,1,2024-09,52.44,662.9,,,,2024-03,49.99,49.99,,6.35,1,2024-03,1.38,50.96,31.14,0,0,0,0,0,,"HOLMARC,",1,
Alfa Ica (India) Ltd.,ALFAICA,Laminates/Decoratives,Laminates/Decoratives,39.15,BSE,0,101.74,101.74,0,4.99,4.99,0,1,2024-09,17.99,56.85,2024-09,72.63,1.86,2024-09,21.09,21.09,3.42,1.73,1,2024-03,0.64,8.02,10.91,0,0,0,0,0,,"OFSS,",1,
Deco-Mica Ltd.,DECOMIC,Laminates/Decoratives,Laminates/Decoratives,35.12,BSE,0,83.5,83.5,0,-0.14,-0.14,0,1,2024-09,19.99,53.97,2024-09,76.57,1.79,2024-09,19.61,19.61,1.91,1.4,1,2024-03,0.84,9.66,13.44,0,0,0,0,0,,"ORBTEXP,",1,
OCCL Ltd.,OCCLLTD,Chemicals,Chemicals,530.72,NSE,88,107.17,88,113632,1.23,-0.34,-0.3,1,,,530.72,,,,0,,11.85,,,1,0,,,,0,159.42,0,72.83,7.43,,"CANARYS,",0,
Odigma Consultancy Solutions Ltd.,ODIGMA,Unspecified,Unspecified,236.75,NSE,22.7,73.4,22.7,3232,-2.76,-2.45,-0.57,1,,,236.75,,,,0,,,,,1,0,,,,0,56.09,0,21.5,-0.36,,"530697,",0,
Oil & Natural Gas Corporation Ltd.,ONGC,Oil Exploration,Oil Exploration,309474.9,NSE,267.6,251.43,267.6,20991995,2.18,0.98,2.6,2,2024-09,157898,430084.4,2024-09,657245.5,40937.9,2024-09,7.61,8.88,0.77,0.88,2,2024-03,0.36,18.42,20.41,0,293,0,205,30.15,,"POLYMED,",1,
Suncare Traders Ltd.,SCTL,Laminates/Decoratives,Laminates/Decoratives,26.52,BSE,0,1.03,1.03,0,-0.96,-0.96,0,1,2024-09,6.67,33.19,2024-09,0.04,0.79,2024-09,33.61,33.61,2.23,0.67,1,2024-03,0.14,1.28,6.56,0,0,0,0,0,,"543997,",1,
Oil Country Tubular Ltd.,OILCOUNTUB,Steel & Iron Products,Steel & Iron Products,315.08,NSE,41.02,69.4,41.02,231532,-0.03,-0.19,-0.08,1,2024-09,86.68,389.08,2024-9,64.63,-53.75,2024-09,0,0,0,-7.12,1,2024-03,-3.28,0,-119.83,0,99.67,0,35.65,-11.62,,"SONUINFRA,",1,
Oil India Ltd.,OIL,Oil Exploration,Oil Exploration,75401.4,NSE,476.55,487.05,476.55,0,5.13,0,0,2,2024-09,27357.88,94700.93,2024-09,38565.18,8260.9,2024-09,8.99,8.99,0.55,1.43,2,2024-03,0.49,16.08,15.21,0,524,0,325,-14.09,,"POLYCAB,",1,
Amin Tannery Ltd.,AMINTAN,Leather,Leather,27.32,BSE,0,2.65,2.65,0,4.74,4.74,0,1,2024-09,28.61,55.49,2024-09,42.95,0.3,2024-09,91.06,91.06,4.24,2.16,1,2024-03,2.29,2.92,5.03,0,0,0,0,0,,"ORIENTBELL,",1,
OLA Electric Mobility Ltd.,OLAELEC,Automobile Two & Three Wheelers,Automobile Two & Three Wheelers,37320.03,NSE,23.72,83.5,23.72,27558404,-1.43,-4.59,-1.14,2,2024-09,3093,34495.03,,,,2024-03,0,0,,5.68,2,2024-03,1.35,0,-33.24,0,71.25,0,22.25,-5,,"ALPEXSOLAR,",TRUE,
Euro Leder Fashion Ltd.,EUROLED,Leather,Leather,11.9,BSE,0,26.61,26.61,0,0.04,0.04,0,1,2024-09,15.77,23.95,2024-09,23.55,0.09,2024-09,138.37,138.37,-23.06,0.79,1,2024-03,1.34,2.15,5.96,0,0,0,0,0,,"ORIENTCEM,",1,
Oscar Global Ltd.,OSCARGLO,Leather,Leather,7.04,BSE,0,20.91,20.91,0,-1.97,-1.97,0,1,2024-09,,7.04,2024-09,0,-0.06,2024-09,0,0,0,2.24,1,2024-03,0,-2.31,-2.21,0,0,0,0,0,,"ORIENTCER,",1,
Phoenix International Ltd.,PHOENXINTL,Leather,Leather,102.16,BSE,0,60.55,60.55,0,-0.49,-0.49,0,2,2024-09,69.88,172.04,2024-09,25.06,2.62,2024-09,38.92,38.92,-8.09,1.17,2,2024-03,0.88,2.82,6.3,0,0,0,0,0,,"ORIENTELEC,",1,
Super Tannery Ltd.,SUPTANERY,Leather,Leather,127.3,BSE,0,11.84,11.84,0,0.42,0.42,0,2,2024-09,68.56,182.05,2024-09,262.51,6.07,2024-09,20.57,20.57,2.66,1.27,2,2024-03,0.81,6.06,7.76,0,0,0,0,0,,"GREENPOWER,",1,
Olectra Greentech Ltd.,OLECTRA,Automobiles-Trucks/Lcv,Automobiles-Trucks/Lcv,12255.47,NSE,1011.65,1502.45,1011.65,1445375,0.63,-4.2,-44.35,2,2024-09,186.72,12223.46,2024-09,1468.56,100.08,2024-09,109.17,58.07,2.32,12.48,2,2024-03,0.13,8.97,14.83,0,1714.2,0,866.6,17.42,,"500009,",TRUE,
MFL India Ltd.,MFLINDIA,Logistics,Logistics,25.22,BSE,0,0.7,0.7,0,0,0,0,1,2024-09,18.65,43.87,2023-12,52.24,-0.91,2024-03,0,0,0,-10.51,1,2024-03,-7.63,0,-17.24,0,0,0,0,0,,"ORIENTLTD,",1,
Om Infra Ltd.,OMINFRAL,Engineering - Construction,Engineering - Construction,1550.49,NSE,85.05,173.5,85.05,455288,7.54,-4.11,-3.65,2,2024-09,102.52,1584.43,2024-09,975.15,25.77,2024-09,60.46,27.64,2.48,2.11,2,2024-03,0.12,6.7,13.46,0,146.12,0,71.5,3.08,,,1,
Omax Autos Ltd.,OMAXAUTO,Auto Ancillary,Auto Ancillary,252.49,NSE,97.24,120.89,97.24,24056,0.99,-3.27,-3.29,1,2024-09,98.66,280.43,2024-09,372.11,34.51,2024-09,7.32,10.3,-0.68,0.81,1,2024-03,0.37,4,10.85,0,165.8,0,77.55,9.44,,"532806,",TRUE,
Cargotrans Maritime Ltd.,CARGOTRANS,Logistics,Logistics,38.35,BSE,0,94,94,0,,,0,1,2024-09,5.71,44.06,2024-03,61.7,1.78,2024-03,21.53,21.53,,2.77,2,2024-03,0.16,15.17,20.25,0,0,0,0,0,,"OAL,",1,
Omaxe Ltd.,OMAXE,Construction - Real Estate,Construction - Real Estate,1975.33,NSE,70.91,108.58,70.91,182886,0.6,-1.73,-1.25,2,2024-09,630.27,2028.05,2024-09,1865.58,-601.78,2024-09,0,0,,20.97,2,2024-03,1.52,-58.92,-24.09,0,113.4,0,62.5,-35.76,,,1,
Omfurn India Ltd.,OMFURN,Household & Personal Products,Household & Personal Products,123.16,NSE,0,103,103,0,-1.53,-1.53,0,1,2024-09,14.53,137.69,2024-03,80.29,3.66,2024-03,33.62,33.62,0.36,2.35,1,2024-03,0.29,9.39,13.5,0,0,0,0,0,,"MMP,",1,
Omkar Speciality Chemicals Ltd.,OMKARCHEM,Chemicals,Chemicals,16.36,NSE,3.8,8.7,3.8,4724,4.95,1.6,0.06,1,2022-03,225.51,241.54,2022-06,19.36,-13.22,2022-06,0,0,,,1,2021-03,-1.44,0,12.4,0,7.91,0,3.62,0,,"BVCL,",TRUE,
On Door Concepts Ltd.,ONDOOR,Retailing,Retailing,151.83,NSE,0,277.55,277.55,0,3.26,3.26,0,1,2024-09,0.88,152.71,2024-03,233.52,6.06,2024-03,25.06,25.06,,1.65,1,2024-03,0.01,8.46,7.4,0,0,0,0,0,,"538795,",1,
One Mobikwik Systems Ltd.,MOBIKWIK,Fintech,Fintech,4785.48,NSE,181.7,605.9,181.7,370843,-1.61,-1.81,-3.35,1,2024-03,211.7,4609.69,,,,2024-03,535.17,535.17,,6.91,2,2024-03,2.03,14.49,18.49,0,354.4,0,174.5,-15.79,,"MHRIL,",1,
One Point One Solutions Ltd.,ONEPOINT,BPO/ITeS,BPO/ITeS,1443.17,NSE,42.8,56.31,42.8,1019064,0.46,-1.09,-0.47,2,2024-09,34.5,1460.52,2024-09,217.78,28.62,2024-09,50.43,30.6,3.1,3.89,2,2024-03,0.22,23.32,29.26,0,69.99,0,41.01,1.4,,"531381,",TRUE,
One97 Communications Ltd.,PAYTM,Fintech,Fintech,62590.97,NSE,1044.8,994,1044.8,1606544,1.18,-2.94,-31.6,2,2024-09,,57561.97,2024-09,8278.7,-437.7,2024-09,0,0,,4.31,2,2024-03,0,-14.04,-10.36,0,1381.8,0,718.2,-2.77,,"MAHICKRA,",1,
Oneclick Logistics India Ltd.,OLIL,Logistics,Logistics,38.13,NSE,0,110.2,110.2,0,4.16,4.16,0,1,2024-09,1.29,39.42,2024-03,28.73,0.66,2024-03,58.21,58.21,,3.21,1,2024-03,0.19,10.85,10.61,0,0,0,0,0,,"ORTINGLOBE,",1,
Onelife Capital Advisors Ltd.,ONELIFECAP,Finance - Investment,Finance - Investment,22.62,NSE,14.71,16.62,14.71,25798,-0.72,-0.61,-0.09,2,2024-09,-4.87,2024-09,0,0,0.49,2,2024-03,2024-03,0.52,0.95,9.52,"ONELIFECAP,",,,,0,17.41,0,8.67,-2.61,,"532303,",1,
Prime Fresh Ltd.,PRIMEFRESH,Logistics,Logistics,316.58,BSE,0,227.95,227.95,0,-1.75,-1.75,0,1,2024-09,1.27,317.85,2024-03,142.94,6.79,2024-03,46.62,46.62,1.15,5.15,2,2024-03,0,15.24,20.46,0,0,0,0,0,,"OSELDEVICE,",1,
Onmobile Global Ltd.,ONMOBILE,IT - Software,IT - Software,723.84,NSE,49,71.32,49,88874,4.94,-2.25,-1.13,2,2024-09,26.28,708.86,2024-09,495.2,-30.48,2024-09,0,29.65,0,1.15,2,2024-03,0.02,2.38,4.88,0,75.09,0,41.07,1.65,,"NECCLTD,",1,
Onward Technologies Ltd.,ONWARDTEC,IT - Software,IT - Software,740.91,NSE,238,330,238,31418,1.68,-4.15,-10.3,2,2024-09,,717.57,2024-09,473.17,24.09,2024-09,30.75,12,1.13,3.55,2,2024-03,0,18.34,24.38,0,385,0,206,19.83,,,1,
ABC India Ltd.,ABCINDQ,Logistics,Logistics,62.65,BSE,0,117,117,0,1.17,1.17,0,1,2024-09,18.7,78.74,2024-09,169.38,2.51,2024-09,24.96,24.96,-1.7,1.18,1,2024-03,0.44,5.26,8.51,0,0,0,0,0,,"OSWALAGRO,",1,
Onyx Biotec Ltd.,ONYX,Pharmaceuticals & Drugs,Pharmaceuticals & Drugs,171.98,NSE,0,90.1,90.1,178386,-5.01,-14.69,-0.21,1,2024-03,30.78,201.3,,,,2024-03,56.73,56.73,,3.17,1,2024-03,1.24,14.07,12.05,0,0,0,0,-0.02,,"512618,",1,
Optiemus Infracom Ltd.,OPTIEMUS,Trading,Trading,6383.48,NSE,333.05,754.05,333.05,151657,1.59,-4.83,-16.9,2,2024-09,178.7,6500.17,2024-09,1941.04,62.34,2024-09,94.1,45.15,3.89,14.11,2,2024-03,0.25,14.03,17.29,0,713,0,325.05,7.38,,"VIPIND,",1,
Oracle Financial Services Software Ltd.,OFSS,IT - Software,IT - Software,109817.6,NSE,6397,12592.05,6397,84797,-0.45,-2.99,-197.5,2,2024-09,,105016.6,2024-09,6881.36,2495.33,2024-09,44.01,22.86,4.45,15.55,2,2024-03,0,29.53,39.83,0,9950,0,6234.5,279.88,,"542628,",1,
Orbit Exports Ltd.,ORBTEXP,Textile,Textile,588.37,NSE,154.93,225.44,154.93,1110,2.35,2.45,3.7,2,2024-09,19.02,602.88,2024-09,202.09,34.44,2024-09,15.98,10.75,2.77,2.26,2,2024-03,0.08,15.14,18.93,0,265,0,140.1,14.41,,"TCIEXP,",1,
Orchid Pharma Ltd.,ORCHPHARMA,Pharmaceuticals & Drugs,Pharmaceuticals & Drugs,9476.1,NSE,522.95,1929.95,522.95,37424,3.02,-2.87,-15.45,2,2024-09,164.4,9396.62,2024-09,904.8,117.87,2024-09,79.65,140.42,3.62,7.74,2,2024-03,0.12,10.23,9.35,0,899,0,489,3.72,,"531260,",1,
Oriana Power Ltd.,ORIANA,Engineering - Construction,Engineering - Construction,4586.74,NSE,0,2305,2305,0,2.11,2.11,0,1,2024-09,35.55,4622.29,2024-03,377.31,55.13,2024-03,83.19,83.19,,12.81,2,2024-03,1.26,61.02,37.79,0,0,0,0,0,,,1,
Oricon Enterprises Ltd.,ORICONENT,Packaging,Packaging,612.17,NSE,67.6,39.11,67.6,28456,0.26,0.09,0.06,2,2024-09,9.32,597.55,2024-09,220.8,3.81,2024-09,4.07,35.4,-1.23,0.53,2,2024-03,0.12,0.05,-0.03,0,70.4,0,35.66,1.91,,"PVSL,",1,
Balurghat Technologies Ltd.,BALTE,Logistics,Logistics,52.23,BSE,0,28.56,28.56,0,-0.49,-0.49,0,1,2024-09,12.19,64.42,2024-09,78.06,2.17,2024-09,24.12,24.12,0.99,3.16,1,2024-03,0.71,13.01,14.55,0,0,0,0,0,,"523483,",1,
Chartered Logistics Ltd.,CHLOGIST,Logistics,Logistics,145.13,BSE,0,12.2,12.2,0,1.08,1.08,0,1,2024-09,28.04,173.17,2024-09,74.55,2.58,2024-09,56.21,56.21,-2.68,2.66,1,2024-03,0.46,1.5,5.16,0,0,0,0,0,,"531395,",1,
Coastal Roadways Ltd.,COARO,Logistics,Logistics,15.96,BSE,0,38.5,38.5,0,,,0,1,2024-09,0.24,16.2,2024-09,39.36,1.24,2024-09,12.87,12.87,0.54,0.76,1,2024-03,0.02,11.61,12.92,0,0,0,0,0,,"532350,",1,
Orient Bell Ltd.,ORIENTBELL,Ceramics/Marble/Granite/Sanitaryware,Ceramics/Marble/Granite/Sanitaryware,471.58,NSE,279.75,322.95,279.75,7294,0.47,-0.02,-0.05,2,2024-09,41,506.77,2024-09,679.1,0.32,2024-09,703.85,45.14,-19.01,1.51,2,2024-03,0.13,0.3,0.93,0,338.2,0,216,6.2,,"BANCOINDIA,",TRUE,
Containerway International Ltd.,CONTAINER,Logistics,Logistics,84.59,BSE,0,71.64,71.64,0,-2,-2,0,1,2024-09,3.4,87.99,2024-09,1.87,0.86,2024-09,98.71,98.71,-8.11,7.57,1,2024-03,-3.34,0,-6.1,0,0,0,0,0,,"526905,",1,
Flomic Global Logistics Ltd.,FLOMIC,Logistics,Logistics,50.4,BSE,0,70.21,70.21,0,0.3,0.3,0,1,2024-09,36.83,80.43,2024-09,437.07,4.25,2024-09,11.85,11.85,0.07,1.53,1,2024-03,0.77,5.14,16.48,0,0,0,0,0,,"PAGEIND,",1,
Frontline Corporation Ltd.,FRONTCORP,Logistics,Logistics,24.5,BSE,0,49,49,0,0,0,0,1,2024-09,56.43,79.28,2024-09,93.85,1.95,2024-09,12.54,12.54,0.3,1.78,1,2024-03,4.56,10.2,2.75,0,0,0,0,0,,,1,
Orient Cement Ltd.,ORIENTCEM,Cement & Construction Materials,Cement & Construction Materials,7116.29,NSE,133.48,344.4,133.48,351104,-0.76,-4.21,-5.87,1,2024-09,136.31,7245.83,2024-09,2879.63,152.23,2024-09,46.75,8.46,1.57,4.06,1,2024-03,0.07,10.48,16.32,0,362.4,0,131.85,15.79,,"508136,",TRUE,
Inter State Oil Carrier Ltd.,INTSTOIL,Logistics,Logistics,22.95,BSE,0,46.8,46.8,0,1.81,1.81,0,1,2024-09,22.27,44.47,2024-09,89.4,-0.18,2024-09,0,0,0,1.24,1,2024-03,1.06,4.86,8.92,0,0,0,0,0,,,1,
Orient Ceratech Ltd.,ORIENTCER,Refractories,Refractories,606.93,NSE,38.65,51.34,38.65,1373038,1.26,1.2,0.46,2,2024-09,54.38,658.09,2024-09,325.78,14.3,2024-09,42.43,42.43,,2.19,2,2024-03,0.21,7.1,9.39,0,56.64,0,28.67,0,,"SHIGAN,",1,
Orient Electric Ltd.,ORIENTELEC,Consumer Durables - Domestic Appliances,Consumer Durables - Domestic Appliances,5069.57,NSE,164.33,238.93,164.33,112678,0.53,-3,-5.09,1,2024-09,21.34,5050.44,2024-09,2954.6,61.91,2024-09,81.89,40.25,-31.14,7.79,1,2024-03,0.03,12.38,19.05,0,248.9,0,155.35,4.08,,"531472,",1,
Kesar Terminals & Infrastructure Ltd.,KTIL,Logistics,Logistics,85.85,BSE,0,78.57,78.57,0,,,0,2,2024-09,9.65,93.45,2024-09,33.25,-37.07,2024-09,0,0,,-0.75,2,2024-03,-0.11,0,0,0,0,0,0,0,,"PALREDTEC,",1,
