symbol,buy_date,buy_price,buy_qty,sell_date,sell_price,sell_qty,pnl,holding_period_minutes,status
EO CE BAJAJFINSV 26Jun2025 2280,2025-06-25,0.05,500.0,2025-06-10,1.3,500.0,625.0,21600.0,CLOSED
EO CE BAJAJFINSV 30Sep2025 2180,2025-09-29,0.05,500.0,2025-09-25,0.95,500.0,449.99999999999994,5760.0,CLOSED
EO CE BAJAJFINSV 30Sep2025 2180,2025-09-29,0.05,500.0,2025-09-25,1.0,500.0,475.0,5760.0,CLOSED
EO CE BAJAJFINSV 31Jul2025 2200,2025-07-01,12.25,1000.0,2025-07-01,12.95,1000.0,699.9999999999993,0.0,CLOSED
EO CE BAJAJFINSV 31Jul2025 2320,2025-07-21,0.25,500.0,2025-06-26,4.1,500.0,1924.9999999999998,36000.0,CLOSED
EO CE BAJFINANCE 26Jun2025 1020,2025-06-19,0.3,1250.0,2025-06-16,1.2,1250.0,1125.0,4320.0,CLOSED
EO CE BAJFINANCE 26Jun2025 1020,2025-06-26,0.05,1250.0,2025-06-16,1.2,1250.0,1437.5,14400.0,CLOSED
EO CE BAJFINANCE 26Jun2025 1020,2025-06-26,0.05,1250.0,2025-06-16,1.2,1250.0,1437.5,14400.0,CLOSED
EO CE BAJFINANCE 28Aug2025 1000,2025-08-18,1.5,750.0,2025-08-01,1.8,750.0,225.00000000000003,24480.0,CLOSED
EO CE BAJFINANCE 28Aug2025 1000,2025-08-18,1.5,750.0,2025-08-01,1.8,750.0,225.00000000000003,24480.0,CLOSED
EO CE BAJFINANCE 28Aug2025 1100,2025-08-21,0.15,750.0,2025-07-28,1.0,750.0,637.5,34560.0,CLOSED
EO CE BAJFINANCE 28Aug2025 1100,2025-08-21,0.15,1500.0,2025-07-28,1.0,1500.0,1275.0,34560.0,CLOSED
EO CE BAJFINANCE 28Aug2025 1100,2025-08-21,0.15,750.0,2025-07-28,1.0,750.0,637.5,34560.0,CLOSED
EO CE BAJFINANCE 28Aug2025 960,2025-08-18,4.25,750.0,2025-08-12,1.2,750.0,-2287.5,8640.0,CLOSED
EO CE BAJFINANCE 28Aug2025 960,2025-08-18,4.25,750.0,2025-08-12,1.2,750.0,-2287.5,8640.0,CLOSED
EO CE BAJFINANCE 28Aug2025 960,2025-08-19,1.85,1500.0,2025-08-19,1.45,1500.0,-600.0000000000002,0.0,CLOSED
EO CE BAJFINANCE 28Aug2025 960,2025-08-28,0.05,750.0,2025-08-19,1.3,750.0,937.5,12960.0,CLOSED
EO CE BAJFINANCE 28Aug2025 960,2025-08-28,0.05,750.0,2025-08-19,1.3,750.0,937.5,12960.0,CLOSED
EO CE BAJFINANCE 28Oct2025 1160,,0.0,1500.0,2025-09-26,1.55,1500.0,2325.0,0.0,OPEN
EO CE BAJFINANCE 28Oct2025 1160,,0.0,3000.0,2025-09-26,1.5,3000.0,4500.0,0.0,OPEN
EO CE BAJFINANCE 30Sep2025 1040,2025-09-12,6.5,3000.0,2025-09-04,1.35,3000.0,-15450.000000000002,11520.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1060,2025-09-15,5.1,1500.0,2025-09-11,0.95,1500.0,-6224.999999999999,5760.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1080,2025-09-23,1.55,750.0,2025-09-12,2.05,750.0,374.99999999999983,15840.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1080,2025-09-23,1.55,1500.0,2025-09-12,2.1,1500.0,825.0000000000001,15840.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1080,2025-09-23,1.55,750.0,2025-09-12,2.05,750.0,374.99999999999983,15840.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1080,2025-09-24,1.5,1500.0,2025-09-12,2.05,1500.0,824.9999999999998,17280.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1080,2025-09-24,1.5,2250.0,2025-09-12,2.05,2250.0,1237.4999999999995,17280.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1080,2025-09-24,1.5,750.0,2025-09-12,2.05,750.0,412.4999999999999,17280.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1080,2025-09-24,1.5,750.0,2025-09-18,1.1,750.0,-299.99999999999994,8640.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1100,2025-09-19,0.65,750.0,2025-09-15,1.75,750.0,825.0000000000001,5760.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1100,2025-09-30,0.05,750.0,2025-09-15,1.75,750.0,1275.0,21600.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1100,2025-09-30,0.05,750.0,2025-09-15,1.75,750.0,1275.0,21600.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1100,2025-09-30,0.05,750.0,2025-09-15,1.75,750.0,1275.0,21600.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1100,2025-09-30,0.05,750.0,2025-09-24,0.85,750.0,600.0,8640.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1100,2025-09-30,0.05,1500.0,2025-09-24,0.85,1500.0,1200.0,8640.0,CLOSED
EO CE BAJFINANCE 30Sep2025 1100,2025-09-30,0.05,750.0,2025-09-24,0.85,750.0,600.0,8640.0,CLOSED
EO CE BAJFINANCE 31Jul2025 1020,2025-07-09,2.6,750.0,2025-07-04,2.8,750.0,149.9999999999998,7200.0,CLOSED
EO CE BAJFINANCE 31Jul2025 1020,2025-07-09,2.6,750.0,2025-07-04,2.9,750.0,224.99999999999986,7200.0,CLOSED
EO CE BAJFINANCE 31Jul2025 1020,2025-07-21,3.1,750.0,2025-07-04,2.9,750.0,-150.00000000000014,24480.0,CLOSED
EO CE BAJFINANCE 31Jul2025 1070,2025-07-23,1.0,750.0,2025-07-02,0.9,750.0,-74.99999999999999,30240.0,CLOSED
EO CE BAJFINANCE 31Jul2025 1070,2025-07-23,1.0,750.0,2025-07-04,1.0,750.0,0.0,27360.0,CLOSED
EO CE BAJFINANCE 31Jul2025 1070,2025-07-23,1.0,750.0,2025-07-04,1.0,750.0,0.0,27360.0,CLOSED
EO CE BAJFINANCE 31Jul2025 950,2025-07-25,2.65,750.0,2025-07-25,1.9,750.0,-562.5,0.0,CLOSED
EO CE BAJFINANCE 31Jul2025 950,2025-07-25,2.65,750.0,2025-07-25,1.9,750.0,-562.5,0.0,CLOSED
EO CE BAJFINANCE 31Jul2025 950,2025-07-25,2.65,750.0,2025-07-25,1.9,750.0,-562.5,0.0,CLOSED
EO CE BAJFINANCE 31Jul2025 950,2025-07-25,2.65,750.0,2025-07-25,1.9,750.0,-562.5,0.0,CLOSED
EO CE BAJFINANCE 31Jul2025 950,2025-07-31,0.05,1500.0,2025-07-29,0.4,1500.0,525.0,2880.0,CLOSED
EO CE BAJFINANCE 31Jul2025 960,2025-07-31,0.1,750.0,2025-07-25,1.35,750.0,937.5,8640.0,CLOSED
EO CE BAJFINANCE 31Jul2025 960,2025-07-31,0.1,750.0,2025-07-25,1.35,750.0,937.5,8640.0,CLOSED
EO CE BAJFINANCE 31Jul2025 960,2025-07-31,0.1,3000.0,2025-07-28,1.2,3000.0,3299.9999999999995,4320.0,CLOSED
EO CE BAJFINANCE 31Jul2025 970,2025-07-31,0.05,1500.0,2025-07-25,0.95,1500.0,1349.9999999999998,8640.0,CLOSED
EO CE BAJFINANCE 31Jul2025 970,2025-07-31,0.05,750.0,2025-07-25,0.95,750.0,674.9999999999999,8640.0,CLOSED
EO CE BAJFINANCE 31Jul2025 970,2025-07-31,0.05,750.0,2025-07-25,0.95,750.0,674.9999999999999,8640.0,CLOSED
EO CE BAJFINANCE 31Jul2025 980,2025-07-30,0.1,750.0,2025-07-25,1.1,750.0,750.0,7200.0,CLOSED
EO CE BAJFINANCE 31Jul2025 980,2025-07-30,0.1,1500.0,2025-07-25,1.1,1500.0,1500.0,7200.0,CLOSED
EO CE BAJFINANCE 31Jul2025 980,2025-07-31,0.05,1500.0,2025-07-25,1.1,1500.0,1575.0,8640.0,CLOSED
EO CE BAJFINANCE 31Jul2025 980,2025-07-31,0.05,750.0,2025-07-25,1.1,750.0,787.5,8640.0,CLOSED
EO CE BEL 28Aug2025 410,2025-08-26,0.05,2850.0,2025-08-20,0.35,2850.0,855.0,8640.0,CLOSED
EO CE BEL 28Aug2025 420,2025-08-18,0.5,2850.0,2025-08-18,0.45,2850.0,-142.49999999999997,0.0,CLOSED
EO CE BHARTIARTL 26Jun2025 2000,2025-06-23,1.55,950.0,2025-06-23,1.7,950.0,142.49999999999991,0.0,CLOSED
EO CE BHARTIARTL 26Jun2025 2000,2025-06-24,2.1,950.0,2025-06-23,1.7,950.0,-380.0000000000001,1440.0,CLOSED
EO CE BHEL 28Aug2025 250,2025-08-14,0.35,2625.0,2025-08-07,0.95,2625.0,1575.0,10080.0,CLOSED
EO CE BHEL 28Aug2025 260,2025-08-07,0.6,2625.0,2025-08-07,0.45,2625.0,-393.7499999999999,0.0,CLOSED
EO CE BHEL 31Jul2025 300,2025-06-30,1.9,2625.0,2025-06-30,1.9,2625.0,0.0,0.0,CLOSED
EO CE BIOCON 26Jun2025 380,2025-06-17,1.6,2500.0,2025-06-17,2.5,2500.0,2250.0,0.0,CLOSED
EO CE BIOCON 26Jun2025 380,2025-06-17,1.6,2500.0,2025-06-17,2.5,2500.0,2250.0,0.0,CLOSED
EO CE BIOCON 26Jun2025 380,2025-06-17,1.6,2500.0,2025-06-17,1.5,2500.0,-250.00000000000023,0.0,CLOSED
EO CE BIOCON 26Jun2025 380,2025-06-17,2.0,2500.0,2025-06-17,1.5,2500.0,-1250.0,0.0,CLOSED
EO CE BIOCON 28Aug2025 380,2025-08-11,1.3,2500.0,2025-08-11,0.9,2500.0,-1000.0,0.0,CLOSED
EO CE BIOCON 28Aug2025 380,2025-08-11,1.0,2500.0,2025-08-11,0.9,2500.0,-249.99999999999994,0.0,CLOSED
EO CE BOSCHLTD 28Aug2025 44000,2025-08-05,315.15,25.0,2025-08-05,299.0,25.0,-403.74999999999943,0.0,CLOSED
EO CE BOSCHLTD 28Aug2025 44000,,0.0,25.0,2025-08-06,99.05,25.0,2476.25,0.0,OPEN
EO CE BOSCHLTD 28Aug2025 44000,,0.0,25.0,2025-08-06,99.0,25.0,2475.0,0.0,OPEN
EO CE BOSCHLTD 28Aug2025 45000,2025-08-05,140.1,25.0,2025-08-05,169.9,25.0,745.0000000000002,0.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-05,140.1,25.0,2025-08-05,122.75,25.0,-433.7499999999999,0.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-05,150.1,25.0,2025-08-05,121.75,25.0,-708.7499999999999,0.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-05,150.1,25.0,2025-08-05,189.9,25.0,995.0000000000002,0.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-25,4.1,25.0,2025-08-05,189.9,25.0,4645.0,28800.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-25,4.1,50.0,2025-08-05,159.9,50.0,7790.000000000001,28800.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-25,4.1,25.0,2025-08-05,123.45,25.0,2983.75,28800.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-28,0.05,25.0,2025-08-05,123.25,25.0,3080.0,33120.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-28,0.05,25.0,2025-08-05,169.9,25.0,4246.25,33120.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-28,0.05,25.0,2025-08-06,85.45,25.0,2135.0,31680.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-28,0.05,25.0,2025-08-06,85.5,25.0,2136.25,31680.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-28,0.05,25.0,2025-08-06,85.45,25.0,2135.0,31680.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45000,2025-08-28,0.05,25.0,2025-08-06,85.5,25.0,2136.25,31680.0,CLOSED
EO CE BOSCHLTD 28Aug2025 45500,,0.0,25.0,2025-08-05,105.0,25.0,2625.0,0.0,OPEN
EO CE BOSCHLTD 28Aug2025 45500,,0.0,50.0,2025-08-06,52.0,50.0,2600.0,0.0,OPEN
EO CE BOSCHLTD 28Aug2025 45500,,0.0,50.0,2025-08-06,62.0,50.0,3100.0,0.0,OPEN
EO CE BOSCHLTD 30Sep2025 45000,2025-09-23,11.1,25.0,2025-08-29,80.15,25.0,1726.2500000000002,36000.0,CLOSED
EO CE BOSCHLTD 30Sep2025 45500,2025-09-30,0.05,50.0,2025-09-15,19.0,50.0,947.5,21600.0,CLOSED
EO CE BOSCHLTD 30Sep2025 45500,2025-09-30,0.05,50.0,2025-09-15,19.0,50.0,947.5,21600.0,CLOSED
EO CE BOSCHLTD 31Jul2025 42500,2025-07-30,21.15,50.0,2025-07-30,49.0,50.0,1392.5,0.0,CLOSED
EO CE BOSCHLTD 31Jul2025 42500,2025-07-30,25.15,50.0,2025-07-30,40.0,50.0,742.5000000000001,0.0,CLOSED
EO CE BPCL 28Aug2025 360,2025-07-31,2.0,1975.0,2025-07-31,1.9,1975.0,-197.50000000000017,0.0,CLOSED
EO CE BPCL 31Jul2025 350,2025-07-30,0.8,3950.0,2025-07-30,1.45,3950.0,2567.4999999999995,0.0,CLOSED
EO CE BRITANNIA 28Aug2025 5900,2025-08-07,15.15,125.0,2025-08-06,11.95,125.0,-400.0000000000001,1440.0,CLOSED
EO CE BRITANNIA 28Aug2025 5900,2025-08-07,15.15,125.0,2025-08-06,18.75,125.0,449.99999999999994,1440.0,CLOSED
EO CE BRITANNIA 28Aug2025 5900,2025-08-18,7.05,125.0,2025-08-06,18.8,125.0,1468.75,17280.0,CLOSED
EO CE BRITANNIA 28Aug2025 6000,2025-08-18,5.05,125.0,2025-08-06,7.15,125.0,262.50000000000006,17280.0,CLOSED
EO CE BRITANNIA 28Aug2025 6000,2025-08-18,5.05,125.0,2025-08-06,7.1,125.0,256.25,17280.0,CLOSED
EO CE BRITANNIA 28Aug2025 6000,2025-08-18,5.05,125.0,2025-08-06,14.9,125.0,1231.2500000000002,17280.0,CLOSED
EO CE BRITANNIA 28Aug2025 6000,2025-08-18,5.05,125.0,2025-08-06,14.9,125.0,1231.2500000000002,17280.0,CLOSED
EO CE BRITANNIA 28Aug2025 6200,2025-08-14,1.5,125.0,2025-08-06,6.9,125.0,675.0,11520.0,CLOSED
EO CE BRITANNIA 28Aug2025 6200,2025-08-14,1.5,375.0,2025-08-06,6.9,375.0,2025.0000000000002,11520.0,CLOSED
EO CE BRITANNIA 28Aug2025 6500,2025-08-04,9.05,125.0,2025-07-31,10.0,125.0,118.74999999999991,5760.0,CLOSED
EO CE BRITANNIA 28Aug2025 6500,2025-08-04,9.05,125.0,2025-07-31,10.4,125.0,168.74999999999994,5760.0,CLOSED
EO CE BRITANNIA 30Sep2025 6400,2025-09-24,4.15,125.0,2025-09-24,4.3,125.0,18.749999999999932,0.0,CLOSED
EO CE BRITANNIA 30Sep2025 6400,2025-09-30,0.05,125.0,2025-09-24,3.4,125.0,418.75,8640.0,CLOSED
EO CE BRITANNIA 30Sep2025 6600,2025-09-04,20.0,125.0,2025-08-29,9.1,125.0,-1362.5,8640.0,CLOSED
EO CE BRITANNIA 30Sep2025 6600,2025-09-04,20.0,125.0,2025-08-29,11.9,125.0,-1012.5,8640.0,CLOSED
EO CE BRITANNIA 30Sep2025 6800,2025-09-19,2.0,125.0,2025-09-04,6.5,125.0,562.5,21600.0,CLOSED
EO CE BRITANNIA 30Sep2025 6800,2025-09-29,0.05,125.0,2025-09-04,6.5,125.0,806.25,36000.0,CLOSED
EO CE BRITANNIA 31Jul2025 6300,2025-07-09,16.1,125.0,2025-07-02,15.1,125.0,-125.00000000000023,10080.0,CLOSED
EO CE BSE 26Jun2025 2950,2025-05-30,40.1,375.0,2025-05-30,30.9,375.0,-3450.000000000001,0.0,CLOSED
EO CE BSE 26Jun2025 2950,2025-05-30,40.1,375.0,2025-05-30,30.9,375.0,-3450.000000000001,0.0,CLOSED
EO CE BSE 26Jun2025 3100,2025-06-09,86.95,375.0,2025-06-02,16.9,375.0,-26268.750000000004,10080.0,CLOSED
EO CE BSE 26Jun2025 3100,2025-06-09,86.9,375.0,2025-06-02,16.9,375.0,-26250.0,10080.0,CLOSED
