trade_date,symbol,transaction_type,quantity,price,trade_value,charges,open,high,low,close,volume,t_score,f_score,total_score,is_52week_high,is_52week_low,is_alltime_high,is_alltime_low,trade_hour,trade_day_of_week,trade_month,pnl,holding_period_minutes
2025-08-18,EO CE AUBANK 28Aug2025 830,BUY,1000,1.0,1000.0,0,755.0,773.35,753.0,761.55,1873223,87.5,79.0,83.25,False,False,False,False,0,0,8,2900.0,14400.0
2025-08-18,EO CE AUBANK 28Aug2025 830,BUY,1000,1.2,1200.0,0,755.0,773.35,753.0,761.55,1873223,87.5,79.0,83.25,False,False,False,False,0,0,8,-299.99999999999994,0.0
2025-08-19,EO CE AUBANK 28Aug2025 830,SALE,2000,0.6,1200.0,0,760.0,765.0,754.15,758.5,826929,62.5,79.0,70.75,False,False,False,False,0,1,8,0.0,0.0
2025-08-26,EO CE AUBANK 28Aug2025 830,BUY,2000,0.05,100.0,0,750.0,750.9,740.25,745.25,2429502,50.0,79.0,64.5,False,False,False,False,0,1,8,1099.9999999999998,10080.0
2025-08-08,EO CE AUBANK 28Aug2025 840,SALE,1000,2.8,2800.0,0,800.0,800.0,736.0,739.0,12715309,37.5,79.0,58.25,False,False,False,False,0,4,8,0.0,0.0
2025-08-08,EO CE AUBANK 28Aug2025 840,SALE,1000,1.8,1800.0,0,800.0,800.0,736.0,739.0,12715309,37.5,79.0,58.25,False,False,False,False,0,4,8,0.0,0.0
2025-08-08,EO CE AUBANK 28Aug2025 840,SALE,1000,2.9,2900.0,0,800.0,800.0,736.0,739.0,12715309,37.5,79.0,58.25,False,False,False,False,0,4,8,0.0,0.0
2025-08-08,EO CE AUBANK 28Aug2025 840,SALE,1000,2.9,2900.0,0,800.0,800.0,736.0,739.0,12715309,37.5,79.0,58.25,False,False,False,False,0,4,8,0.0,0.0
2025-08-08,EO CE AUBANK 28Aug2025 840,SALE,1000,2.8,2800.0,0,800.0,800.0,736.0,739.0,12715309,37.5,79.0,58.25,False,False,False,False,0,4,8,0.0,0.0
2025-08-18,EO CE AUBANK 28Aug2025 840,BUY,1000,0.85,850.0,0,755.0,773.35,753.0,761.55,1873223,87.5,79.0,83.25,False,False,False,False,0,0,8,1949.9999999999998,14400.0
2025-08-18,EO CE AUBANK 28Aug2025 840,BUY,2000,0.85,1700.0,0,755.0,773.35,753.0,761.55,1873223,87.5,79.0,83.25,False,False,False,False,0,0,8,3000.0,14400.0
2025-08-18,EO CE AUBANK 28Aug2025 840,BUY,1000,0.8,800.0,0,755.0,773.35,753.0,761.55,1873223,87.5,79.0,83.25,False,False,False,False,0,0,8,2099.9999999999995,14400.0
2025-08-18,EO CE AUBANK 28Aug2025 840,BUY,1000,0.8,800.0,0,755.0,773.35,753.0,761.55,1873223,87.5,79.0,83.25,False,False,False,False,0,0,8,1999.9999999999998,14400.0
2025-07-29,EO CE AUBANK 28Aug2025 850,SALE,1000,1.8,1800.0,0,727.9,741.8,727.0,739.95,2061754,37.5,79.0,58.25,False,False,False,False,0,1,7,0.0,0.0
2025-07-29,EO CE AUBANK 28Aug2025 850,SALE,1000,1.8,1800.0,0,727.9,741.8,727.0,739.95,2061754,37.5,79.0,58.25,False,False,False,False,0,1,7,0.0,0.0
2025-08-08,EO CE AUBANK 28Aug2025 850,SALE,2000,2.25,4500.0,0,800.0,800.0,736.0,739.0,12715309,37.5,79.0,58.25,False,False,False,False,0,4,8,0.0,0.0
2025-08-08,EO CE AUBANK 28Aug2025 850,SALE,2000,2.25,4500.0,0,800.0,800.0,736.0,739.0,12715309,37.5,79.0,58.25,False,False,False,False,0,4,8,0.0,0.0
2025-08-25,EO CE AUBANK 28Aug2025 850,BUY,3000,0.1,300.0,0,738.0,753.25,738.0,749.6,1711315,50.0,79.0,64.5,False,False,False,False,0,0,8,5550.0,34080.0
2025-08-26,EO CE AUBANK 28Aug2025 850,BUY,3000,0.05,150.0,0,750.0,750.9,740.25,745.25,2429502,50.0,79.0,64.5,False,False,False,False,0,1,8,6600.0,25920.0
2025-07-22,EO CE AUBANK 31Jul2025 800,SALE,2000,1.0,2000.0,0,752.95,753.8,724.25,725.8,4668078,37.5,79.0,58.25,False,False,False,False,0,1,7,0.0,0.0
2025-07-24,EO CE AUBANK 31Jul2025 800,BUY,1000,0.8,800.0,0,736.75,746.55,732.3,745.45,2296317,37.5,79.0,58.25,False,False,False,False,0,3,7,199.99999999999994,2880.0
2025-07-24,EO CE AUBANK 31Jul2025 800,BUY,1000,0.8,800.0,0,736.75,746.55,732.3,745.45,2296317,37.5,79.0,58.25,False,False,False,False,0,3,7,199.99999999999994,2880.0
2025-07-21,EO CE AUBANK 31Jul2025 810,SALE,1000,1.15,1150.0,0,770.0,770.0,735.2,752.9,11588986,37.5,79.0,58.25,False,False,False,False,0,0,7,0.0,0.0
2025-07-21,EO CE AUBANK 31Jul2025 810,SALE,1000,1.15,1150.0,0,770.0,770.0,735.2,752.9,11588986,37.5,79.0,58.25,False,False,False,False,0,0,7,0.0,0.0
2025-07-21,EO CE AUBANK 31Jul2025 810,SALE,2000,1.15,2300.0,0,770.0,770.0,735.2,752.9,11588986,37.5,79.0,58.25,False,False,False,False,0,0,7,0.0,0.0
2025-07-28,EO CE AUBANK 31Jul2025 810,BUY,2000,0.2,400.0,0,728.5,737.9,725.0,727.35,1906629,37.5,79.0,58.25,False,False,False,False,0,0,7,1900.0,10080.0
2025-07-29,EO CE AUBANK 31Jul2025 810,BUY,2000,0.1,200.0,0,727.9,741.8,727.0,739.95,2061754,37.5,79.0,58.25,False,False,False,False,0,1,7,2099.9999999999995,11520.0
2025-07-21,EO CE AUBANK 31Jul2025 830,SALE,2000,1.1,2200.0,0,770.0,770.0,735.2,752.9,11588986,37.5,79.0,58.25,False,False,False,False,0,0,7,0.0,0.0
2025-07-21,EO CE AUBANK 31Jul2025 830,SALE,1000,1.05,1050.0,0,770.0,770.0,735.2,752.9,11588986,37.5,79.0,58.25,False,False,False,False,0,0,7,0.0,0.0
2025-07-25,EO CE AUBANK 31Jul2025 830,BUY,2000,0.2,400.0,0,743.1,747.8,727.45,733.4,1485353,37.5,79.0,58.25,False,False,False,False,0,4,7,1800.0000000000002,5760.0
2025-07-28,EO CE AUBANK 31Jul2025 830,BUY,1000,0.15,150.0,0,728.5,737.9,725.0,727.35,1906629,37.5,79.0,58.25,False,False,False,False,0,0,7,900.0,10080.0
